Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:53:17:247,11.285,-0.005,0.024,0.004,-12.376,-45.638,-8.458
15:53:17:322,11.360,-0.026,0.055,0.005,-12.014,-45.641,-8.159
15:53:17:374,11.412,-0.010,0.035,0.014,-12.183,-45.544,-8.267
15:53:17:397,11.434,0.002,0.032,0.017,-12.271,-45.473,-8.158
15:53:17:509,11.547,0.025,-0.024,0.025,-12.833,-45.258,-8.064
15:53:17:522,11.560,0.012,-0.027,0.033,-12.909,-45.195,-8.061
15:53:17:61,11.648,0.022,-0.042,0.021,-13.061,-45.287,-8.231
15:53:17:635,11.673,0.001,-0.037,-0.020,-13.076,-45.346,-8.150
15:53:17:66,11.698,-0.021,-0.008,0.008,-13.068,-45.460,-8.151
15:53:17:685,11.723,-0.020,-0.023,-0.022,-13.040,-45.491,-8.067
15:53:17:737,11.775,-0.028,0.018,0.003,-12.989,-45.528,-7.999
15:53:17:738,11.776,-0.034,0.022,0.006,-12.942,-45.530,-8.012
15:53:17:81,11.848,0.004,0.012,0.037,-12.947,-45.387,-7.959
15:53:17:835,11.873,0.010,0.002,0.022,-12.844,-45.348,-7.981
15:53:17:861,11.899,0.001,0.019,0.011,-12.755,-45.357,-8.019
15:53:17:897,11.935,-0.007,0.050,0.033,-12.728,-45.347,-8.046
15:53:17:922,11.960,-0.003,0.018,0.002,-12.728,-45.282,-7.912
15:53:17:961,11.999,-0.007,0.012,0.010,-12.743,-45.267,-7.899
15:53:17:973,12.011,0.009,-0.001,0.009,-12.779,-45.232,-8.019
15:53:18:097,12.135,0.000,-0.023,0.010,-12.941,-45.163,-7.988
15:53:18:122,12.160,0.004,-0.002,-0.002,-12.968,-45.152,-7.931
15:53:18:16,12.198,0.006,-0.018,-0.007,-13.003,-45.182,-8.000
15:53:18:21,12.248,0.012,-0.010,0.010,-12.906,-45.141,-8.067
