Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:39:57:777,7.223,0.029,-0.012,0.032,1.342,112.672,-22.755
09:39:57:777,7.223,0.012,0.016,0.004,1.339,112.676,-22.745
09:39:57:797,7.243,-0.001,-0.005,0.007,1.296,112.677,-22.797
09:39:57:852,7.297,0.013,-0.026,0.006,1.236,112.657,-22.804
09:39:57:853,7.298,0.003,-0.028,-0.008,1.206,112.648,-22.941
09:39:57:876,7.321,-0.002,-0.009,-0.008,1.226,112.644,-23.085
09:39:58:04,7.485,0.001,-0.002,0.003,1.265,112.625,-23.405
09:39:58:04,7.485,0.007,-0.011,0.006,1.270,112.631,-23.430
09:39:58:216,7.662,0.031,-0.006,0.028,1.178,112.591,-23.291
09:39:58:272,7.718,0.014,-0.030,0.018,1.060,112.617,-23.195
09:39:58:354,7.799,0.004,0.005,-0.004,1.196,112.875,-23.275
09:39:58:374,7.819,0.002,0.006,0.002,1.325,113.037,-23.229
09:39:58:43,7.875,0.000,0.021,-0.002,1.371,113.108,-23.218
09:39:58:431,7.876,-0.006,0.009,-0.011,1.384,113.169,-23.288
09:39:58:454,7.899,-0.008,0.000,-0.007,1.343,113.176,-23.371
09:39:58:506,7.951,0.003,0.011,0.002,1.316,113.137,-23.355
09:39:58:531,7.977,0.009,-0.050,0.005,1.279,113.106,-23.279
09:39:58:587,8.032,0.010,-0.020,0.004,1.216,113.051,-23.226
09:39:58:588,8.033,0.001,-0.006,-0.003,1.193,112.988,-23.277
09:39:58:64,8.085,0.012,-0.014,0.015,1.232,112.917,-23.121
09:39:58:663,8.108,0.004,0.018,-0.002,1.255,112.910,-23.141
09:39:58:769,8.214,0.004,0.014,-0.003,1.271,112.894,-23.188
09:39:58:903,8.348,0.013,-0.004,0.014,1.163,112.691,-23.029
09:39:58:926,8.371,0.021,0.004,0.014,1.156,112.699,-22.978
09:39:58:979,8.424,0.008,0.017,0.019,1.130,112.711,-22.917
09:39:59:244,8.689,-0.001,0.021,-0.006,1.168,112.899,-22.788
09:39:59:244,8.689,0.003,0.014,0.007,1.179,112.875,-22.772
09:39:59:266,8.712,0.012,-0.014,0.011,1.176,112.878,-22.761
09:39:59:323,8.768,0.006,0.001,-0.004,1.185,112.880,-22.812
09:39:59:323,8.768,-0.001,0.002,-0.003,1.202,112.873,-22.844
09:39:59:348,8.793,0.009,-0.010,0.005,1.231,112.868,-22.819
09:39:59:401,8.846,0.013,0.008,0.002,1.245,112.865,-22.840
09:39:59:402,8.847,0.009,0.004,0.005,1.243,112.850,-22.890
09:39:59:559,9.005,0.000,0.005,-0.005,1.275,112.936,-22.997
09:39:59:638,9.083,0.003,0.015,-0.003,1.242,112.938,-23.060
09:39:59:749,9.194,0.000,-0.017,-0.008,1.235,112.911,-23.013
09:39:59:75,9.195,0.002,-0.018,0.003,1.252,112.902,-22.942
09:39:59:75,9.195,0.012,0.006,-0.009,1.304,112.889,-22.936
09:39:59:751,9.196,-0.001,0.019,-0.009,1.323,112.875,-22.977
09:39:59:903,9.348,0.003,-0.004,0.015,1.189,112.539,-23.081
09:39:59:903,9.348,0.016,-0.012,0.023,1.174,112.491,-23.055
09:39:59:955,9.401,0.011,-0.008,0.011,1.167,112.438,-23.113
09:39:59:955,9.401,0.005,-0.017,0.001,1.150,112.399,-23.197
09:39:59:956,9.402,0.004,-0.004,0.006,1.158,112.353,-23.245
09:39:59:975,9.421,0.009,-0.003,0.012,1.210,112.336,-23.238
09:40:00:032,9.477,0.007,0.012,0.005,1.307,112.299,-23.285
09:40:00:054,9.499,0.009,0.000,0.004,1.338,112.299,-23.291
09:40:00:113,9.558,0.005,-0.010,0.001,1.381,112.291,-23.288
09:40:00:114,9.559,0.001,-0.024,-0.007,1.433,112.271,-23.313
09:40:00:114,9.559,0.001,0.000,-0.001,1.483,112.275,-23.320
09:40:00:133,9.578,-0.002,0.005,0.005,1.596,112.276,-23.237
09:40:00:186,9.631,0.005,0.005,0.008,1.673,112.285,-23.176
09:40:00:215,9.660,0.012,0.014,-0.002,1.726,112.306,-23.181
09:40:00:216,9.661,0.007,0.019,-0.001,1.733,112.302,-23.216
09:40:00:297,9.743,0.011,0.001,0.004,1.728,112.226,-23.262
09:40:00:298,9.744,0.004,0.011,-0.005,1.726,112.213,-23.310
09:40:00:376,9.821,0.000,0.014,0.004,1.772,112.159,-23.281
09:40:00:376,9.821,0.006,0.028,-0.001,1.765,112.141,-23.304
09:40:00:425,9.870,0.002,0.005,0.000,1.720,112.060,-23.325
09:40:00:426,9.871,0.004,0.002,0.000,1.693,112.005,-23.303
09:40:00:448,9.893,0.008,-0.003,0.006,1.647,111.912,-23.286
09:40:00:531,9.976,0.015,-0.007,0.013,1.604,111.806,-23.190
09:40:00:531,9.976,0.021,-0.003,0.012,1.608,111.764,-23.118
09:40:00:611,10.057,0.013,0.014,0.009,1.613,111.757,-23.105
09:40:00:612,10.058,0.011,0.007,0.009,1.616,111.757,-23.083
09:40:00:612,10.058,0.012,0.017,0.015,1.603,111.766,-23.044
09:40:00:659,10.104,0.011,0.018,0.013,1.579,111.770,-23.026
09:40:00:686,10.131,0.005,-0.005,0.002,1.552,111.785,-23.034
09:40:00:743,10.188,0.007,-0.005,-0.005,1.475,111.812,-23.075
09:40:00:743,10.188,-0.002,0.000,0.001,1.411,111.805,-23.095
09:40:00:744,10.189,0.004,-0.012,0.004,1.389,111.783,-23.096
09:40:00:79,10.235,0.009,-0.007,0.000,1.306,111.751,-23.124
