Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:16:59:789,7.455,0.022,-0.014,0.017,-18.428,140.769,-5.195
11:16:59:789,7.455,0.017,0.001,0.011,-18.418,140.976,-5.463
11:16:59:789,7.455,0.030,0.010,0.031,-18.455,141.128,-5.749
11:16:59:807,7.473,0.010,-0.007,0.012,-18.443,141.180,-6.044
11:16:59:833,7.499,0.008,0.010,-0.006,-18.337,141.222,-6.392
11:16:59:946,7.612,0.013,-0.014,0.010,-18.285,141.140,-6.332
11:16:59:946,7.612,0.004,-0.017,0.001,-18.296,141.069,-6.348
11:16:59:967,7.633,-0.013,-0.033,0.005,-18.337,141.001,-6.315
11:16:59:968,7.634,-0.002,-0.022,-0.002,-18.414,140.914,-6.301
11:16:59:991,7.657,-0.008,-0.008,0.008,-18.501,140.868,-6.284
11:17:00:017,7.683,0.006,0.004,0.013,-18.588,140.823,-6.209
11:17:00:102,7.768,0.003,0.015,-0.003,-18.586,140.803,-6.221
11:17:00:102,7.768,-0.001,0.028,-0.006,-18.587,140.803,-6.315
11:17:00:103,7.769,0.000,0.014,0.007,-18.598,140.787,-6.355
11:17:00:123,7.789,-0.003,0.013,-0.005,-18.589,140.786,-6.401
11:17:00:149,7.815,0.000,0.019,-0.007,-18.568,140.781,-6.462
11:17:00:263,7.929,-0.003,-0.001,0.003,-18.567,140.777,-6.484
11:17:00:263,7.929,0.003,0.000,0.003,-18.492,140.771,-6.557
11:17:00:264,7.930,-0.004,-0.003,0.002,-18.443,140.749,-6.615
11:17:00:306,7.972,-0.004,0.014,0.004,-18.412,140.683,-6.611
11:17:00:335,8.001,0.001,0.020,0.001,-18.411,140.593,-6.546
11:17:00:335,8.001,-0.008,0.003,-0.008,-18.324,140.541,-6.556
11:17:00:448,8.114,-0.007,-0.005,-0.004,-18.250,140.489,-6.505
11:17:00:448,8.114,-0.007,-0.018,-0.005,-18.135,140.469,-6.533
11:17:00:448,8.114,-0.010,-0.020,-0.008,-18.099,140.464,-6.561
11:17:00:448,8.114,-0.012,-0.028,-0.008,-18.084,140.465,-6.564
11:17:00:464,8.130,-0.012,-0.010,-0.007,-18.078,140.465,-6.566
11:17:00:57,8.236,-0.016,-0.028,-0.017,-18.054,140.474,-6.587
11:17:00:603,8.269,-0.009,-0.012,0.005,-18.011,140.536,-6.670
11:17:00:604,8.270,-0.007,-0.019,0.001,-18.016,140.542,-6.663
11:17:00:604,8.270,0.002,-0.008,0.001,-18.034,140.584,-6.694
11:17:00:605,8.271,-0.008,-0.016,0.002,-18.054,140.611,-6.724
11:17:00:651,8.317,0.011,-0.005,0.005,-18.092,140.659,-6.804
11:17:00:651,8.317,0.011,0.005,-0.004,-18.110,140.694,-6.885
11:17:00:703,8.369,0.012,0.017,0.007,-18.130,140.694,-6.881
11:17:00:758,8.424,0.000,0.005,-0.001,-18.158,140.701,-6.877
11:17:00:758,8.424,0.000,0.003,-0.003,-18.130,140.715,-6.885
11:17:00:759,8.425,-0.004,-0.009,0.006,-18.100,140.722,-6.884
11:17:00:808,8.474,-0.010,-0.003,-0.004,-18.098,140.718,-6.906
11:17:00:919,8.585,-0.008,-0.006,0.006,-18.141,140.712,-6.904
11:17:00:92,8.586,-0.006,0.002,0.008,-18.143,140.713,-6.911
11:17:00:92,8.586,0.004,-0.002,0.006,-18.150,140.714,-6.909
11:17:00:921,8.587,-0.001,0.007,0.007,-18.180,140.714,-6.911
11:17:00:936,8.602,-0.002,0.005,0.000,-18.216,140.715,-6.911
11:17:00:962,8.628,-0.001,0.015,0.004,-18.228,140.707,-6.900
11:17:01:078,8.744,0.004,0.009,0.005,-18.234,140.225,-6.886
11:17:01:078,8.744,0.006,0.005,0.005,-18.254,140.223,-6.875
11:17:01:078,8.744,-0.011,0.005,0.010,-18.279,140.208,-6.859
11:17:01:078,8.744,0.000,0.009,0.010,-18.268,140.205,-6.788
11:17:01:093,8.759,0.000,0.005,0.014,-18.183,140.221,-6.772
11:17:01:12,8.786,-0.001,0.006,0.004,-18.142,140.214,-6.779
11:17:01:146,8.812,0.005,-0.013,0.007,-18.066,140.165,-6.751
11:17:01:231,8.897,-0.006,-0.010,-0.003,-17.994,140.131,-6.739
11:17:01:231,8.897,-0.004,-0.023,0.005,-17.893,140.069,-6.721
11:17:01:232,8.898,-0.008,-0.018,-0.003,-17.874,140.024,-6.719
11:17:01:252,8.918,-0.012,-0.030,-0.003,-17.897,139.960,-6.727
11:17:01:279,8.945,-0.005,-0.007,-0.002,-17.949,139.943,-6.750
11:17:01:303,8.969,-0.005,-0.011,0.005,-17.999,139.929,-6.745
11:17:01:385,9.051,0.001,0.009,0.005,-18.057,139.932,-6.747
11:17:01:414,9.080,0.008,0.012,0.003,-18.102,139.924,-6.745
11:17:01:415,9.081,0.004,0.013,0.006,-18.189,139.892,-6.759
11:17:01:415,9.081,-0.003,-0.002,0.008,-18.280,139.842,-6.754
11:17:01:464,9.130,0.000,0.011,-0.006,-18.216,139.766,-6.734
11:17:01:575,9.241,-0.013,-0.007,-0.001,-18.197,139.752,-6.743
11:17:01:575,9.241,-0.014,-0.021,0.003,-18.219,139.706,-6.725
11:17:01:576,9.242,-0.009,-0.006,-0.009,-18.207,139.676,-6.723
11:17:01:576,9.242,-0.006,0.000,-0.010,-18.155,139.667,-6.718
11:17:01:622,9.288,-0.007,-0.003,-0.009,-18.161,139.651,-6.707
11:17:01:622,9.288,-0.005,-0.003,0.000,-18.191,139.652,-6.708
11:17:01:732,9.398,-0.005,-0.011,0.003,-18.192,139.667,-6.718
11:17:01:733,9.399,0.001,0.005,-0.007,-18.156,139.691,-6.728
11:17:01:733,9.399,0.003,-0.004,0.004,-18.157,139.683,-6.676
11:17:01:734,9.400,-0.002,0.019,0.005,-18.206,139.689,-6.667
11:17:01:804,9.470,0.004,-0.003,0.004,-18.188,139.734,-6.618
11:17:01:888,9.554,0.001,-0.004,0.007,-18.155,139.750,-6.583
11:17:01:888,9.554,-0.002,-0.012,0.006,-18.155,139.757,-6.584
11:17:01:889,9.555,0.001,-0.006,0.006,-18.140,139.744,-6.549
11:17:01:937,9.603,0.001,-0.013,0.009,-18.135,139.740,-6.528
11:17:01:937,9.603,0.000,-0.011,-0.002,-18.135,139.740,-6.528
11:17:02:048,9.714,0.002,-0.019,0.010,-18.160,139.747,-6.516
11:17:02:048,9.714,0.002,0.003,0.003,-18.165,139.746,-6.507
11:17:02:049,9.715,0.004,-0.001,0.006,-18.165,139.753,-6.509
11:17:02:049,9.715,-0.006,-0.009,0.000,-18.194,139.731,-6.499
11:17:02:065,9.731,-0.004,-0.011,-0.002,-18.189,139.718,-6.505
11:17:02:091,9.757,-0.012,0.004,-0.005,-18.192,139.754,-6.503
11:17:02:117,9.783,0.005,-0.007,0.001,-18.187,139.750,-6.481
11:17:02:197,9.863,0.006,0.011,-0.004,-18.204,139.736,-6.483
11:17:02:229,9.895,-0.005,0.002,0.003,-18.236,139.742,-6.470
11:17:02:229,9.895,-0.010,-0.001,0.002,-18.289,140.081,-6.487
11:17:02:229,9.895,-0.003,-0.011,0.000,-18.262,140.104,-6.504
11:17:02:248,9.914,-0.007,-0.008,0.002,-18.247,140.062,-6.515
11:17:02:275,9.941,-0.013,-0.007,-0.003,-18.279,140.076,-6.503
11:17:02:36,10.026,-0.008,-0.010,0.007,-18.305,140.108,-6.473
11:17:02:361,10.027,-0.003,-0.003,0.004,-18.279,140.167,-6.480
11:17:02:361,10.027,0.013,0.008,0.011,-18.289,140.434,-6.415
11:17:02:381,10.047,0.008,0.008,0.012,-18.336,140.446,-6.401
11:17:02:435,10.101,0.004,0.012,0.009,-18.377,140.491,-6.406
11:17:02:436,10.102,0.008,0.013,0.008,-18.376,140.488,-6.376
11:17:02:704,10.371,0.003,-0.008,0.004,-18.326,140.092,-6.320
11:17:02:704,10.371,0.004,0.005,0.001,-18.361,140.094,-6.320
11:17:02:705,10.372,0.001,0.001,0.007,-18.422,140.099,-6.301
11:17:02:859,10.526,0.000,-0.003,0.006,-18.561,140.114,-6.282
11:17:02:859,10.526,-0.005,-0.002,0.002,-18.567,140.114,-6.280
11:17:02:878,10.545,0.002,-0.001,0.001,-18.545,140.110,-6.306
11:17:03:019,10.686,-0.003,0.001,-0.001,-18.554,140.111,-6.312
11:17:03:019,10.686,0.000,-0.012,0.005,-18.584,140.119,-6.315
11:17:03:019,10.686,-0.001,0.000,0.001,-18.604,140.126,-6.312
